Polymer Code,Sample name in paper,Supplier,Product Number,Supplier Label,Shape,Melting Point [C],MFR(supplier)[g/10min],Mn [g mol-1],Mw [g mol-1],PDI,zero_shear_viscosity,zero_shear_viscosity_stddev
P1-001-3,PP23k,Sigma Aldrich,428116.0,MKCR2515,pellets,156,,8600,23100,2.68,0.3680289841618976,0.0011398102099387
P1-002-1,PP307k,Sigma Aldrich,427888.0,MKCD0180,pellets,172,12.0,47000,306800,6.5,1478.4,3.1611488097171243
P1-004,PP33k,Sanyo Chemical,,Viscol 330-P,powder,152,,11900,32500,2.7,0.762245142202694,0.0018116680080232
P1-005,PP26k,Sanyo Chemical,,Viscol 440-P,powder,151,,9900,26400,2.7,0.429445025297031,0.0005569020250858
P1-007,PP6k,Sanyo Chemical,,Viscol 660-P,powder,144,,2700,6200,2.3,0.024914391,9.85543904002647e-05
P1-009,PP225k,LyondellBasell,,Moplen HP483R,pellets,167,27.0,49800,225100,4.5,445.08,1.2152258740260302
P1-011,PP421k,Sigma Aldrich,427861.0,MKCN5172,pellets,165,4.0,62300,420800,6.8,4263.6,21.942325692968016
P1-017,PP208k,Sabic,,201118tw2,powder,165,31.37,32200,207600,6.4,81.855,0.8415057129776231
P1-018,PP150k,Sabic,,201119tw1,powder,164,118.24,22800,149600,6.6,50.798,1.476196741230342
P1-019,PP122k,Sabic,,201119tw2,powder,165,317.75,16400,121600,7.4,14.078929003766728,0.03771047084958417
